recipe,seed,class,precision,recall,f1,support
R0,42,campanias_conflictos_militares,0.7959183673469388,0.6190476190476191,0.6964285714285714,63.0
R0,42,contexto_colonial_antecedentes,0.18032786885245902,0.4782608695652174,0.2619047619047619,23.0
R0,42,crisis_ideas_emancipadoras,0.27918781725888325,0.7333333333333333,0.40441176470588236,75.0
R0,42,liderazgos_diplomacia_proyectos,0.32608695652173914,0.46875,0.38461538461538464,32.0
R0,42,no_relevante,0.9473684210526315,0.10714285714285714,0.1925133689839572,168.0
R0,42,organizacion_consecuencias_republicanas,0.3181818181818182,0.30434782608695654,0.3111111111111111,23.0
R0,42,participacion_social_regional,0.42,0.35,0.38181818181818183,60.0
R2,42,campanias_conflictos_militares,0.746031746031746,0.746031746031746,0.746031746031746,63.0
R2,42,contexto_colonial_antecedentes,0.34146341463414637,0.6086956521739131,0.4375,23.0
R2,42,crisis_ideas_emancipadoras,0.7368421052631579,0.37333333333333335,0.49557522123893805,75.0
R2,42,liderazgos_diplomacia_proyectos,0.3333333333333333,0.46875,0.38961038961038963,32.0
R2,42,no_relevante,0.8220858895705522,0.7976190476190477,0.8096676737160121,168.0
R2,42,organizacion_consecuencias_republicanas,0.3392857142857143,0.8260869565217391,0.4810126582278481,23.0
R2,42,participacion_social_regional,0.47368421052631576,0.3,0.3673469387755102,60.0
R0,43,campanias_conflictos_militares,0.8478260869565217,0.6190476190476191,0.7155963302752294,63.0
R0,43,contexto_colonial_antecedentes,0.21212121212121213,0.6086956521739131,0.3146067415730337,23.0
R0,43,crisis_ideas_emancipadoras,0.4,0.6133333333333333,0.4842105263157895,75.0
R0,43,liderazgos_diplomacia_proyectos,0.47058823529411764,0.5,0.48484848484848486,32.0
R0,43,no_relevante,0.9482758620689655,0.3273809523809524,0.48672566371681414,168.0
R0,43,organizacion_consecuencias_republicanas,0.23529411764705882,0.34782608695652173,0.2807017543859649,23.0
R0,43,participacion_social_regional,0.2857142857142857,0.43333333333333335,0.3443708609271523,60.0
R2,43,campanias_conflictos_militares,0.7540983606557377,0.7301587301587301,0.7419354838709677,63.0
R2,43,contexto_colonial_antecedentes,0.2894736842105263,0.4782608695652174,0.36065573770491804,23.0
R2,43,crisis_ideas_emancipadoras,0.6976744186046512,0.4,0.5084745762711864,75.0
R2,43,liderazgos_diplomacia_proyectos,0.36363636363636365,0.5,0.42105263157894735,32.0
R2,43,no_relevante,0.8851351351351351,0.7797619047619048,0.8291139240506329,168.0
R2,43,organizacion_consecuencias_republicanas,0.3103448275862069,0.782608695652174,0.4444444444444444,23.0
R2,43,participacion_social_regional,0.40384615384615385,0.35,0.375,60.0
R0,44,campanias_conflictos_militares,0.8837209302325582,0.6031746031746031,0.7169811320754716,63.0
R0,44,contexto_colonial_antecedentes,0.24242424242424243,0.34782608695652173,0.2857142857142857,23.0
R0,44,crisis_ideas_emancipadoras,0.3488372093023256,0.6,0.4411764705882353,75.0
R0,44,liderazgos_diplomacia_proyectos,0.3404255319148936,0.5,0.4050632911392405,32.0
R0,44,no_relevante,0.9444444444444444,0.40476190476190477,0.5666666666666667,168.0
R0,44,organizacion_consecuencias_republicanas,0.2727272727272727,0.391304347826087,0.32142857142857145,23.0
R0,44,participacion_social_regional,0.3103448275862069,0.45,0.3673469387755102,60.0
R2,44,campanias_conflictos_militares,0.7857142857142857,0.6984126984126984,0.7394957983193278,63.0
R2,44,contexto_colonial_antecedentes,0.225,0.391304347826087,0.2857142857142857,23.0
R2,44,crisis_ideas_emancipadoras,0.6666666666666666,0.4533333333333333,0.5396825396825397,75.0
R2,44,liderazgos_diplomacia_proyectos,0.36363636363636365,0.5,0.42105263157894735,32.0
R2,44,no_relevante,0.8417721518987342,0.7916666666666666,0.8159509202453987,168.0
R2,44,organizacion_consecuencias_republicanas,0.2978723404255319,0.6086956521739131,0.4,23.0
R2,44,participacion_social_regional,0.4583333333333333,0.36666666666666664,0.4074074074074074,60.0
