recipe,seed,epoch,weighted_train_loss,train_f1,V_f1,updates,amp_skips
R0,42,1,1.8151278148483894,0.46217254955106163,0.24700692024477244,37,0
R0,42,2,1.2404644210710287,0.7146113060469265,0.2869306319267876,37,0
R0,42,3,0.892266863816148,0.8253001052437902,0.3518100921681027,37,0
R0,42,4,0.7202720300493515,0.8554382058345172,0.3761147349382643,37,0
R2,42,1,1.939421895736176,0.3554844903266879,0.2791885687040455,64,0
R2,42,2,1.5175732894993574,0.6057895936738156,0.38168980024273014,64,0
R2,42,3,1.0026975754361003,0.861075672396554,0.44130092709453655,64,0
R2,42,4,0.5802319005855092,0.9325920653970672,0.5146337456654427,64,0
R2,42,5,0.27491897635821727,0.9781445619790426,0.4592846085246676,62,2
R2,42,6,0.12579139138334344,0.9949256653232764,0.482167232110037,64,0
R2,42,7,0.04654489640601519,0.9978166438272105,0.4713515479700502,63,1
R2,42,8,0.013801569239647675,0.9993238363069168,0.5323920896572062,64,0
R2,42,9,0.006495732747262784,1.0,0.5317309217425269,64,0
R2,42,10,0.0038125452295318563,1.0,0.5271929096521684,64,0
R2,42,11,0.0030042557034212743,1.0,0.5271934468273657,64,0
R2,42,12,0.0026197880483684283,1.0,0.5258510140405113,64,0
R2,42,13,0.002277485228899843,1.0,0.5301747852847625,64,0
R2,42,14,0.0020566708859225346,1.0,0.5274288614549617,64,0
R2,42,15,0.0018744164536735534,1.0,0.5315706005644981,64,0
R2,42,16,0.0017702507921798002,1.0,0.5292340751163677,64,0
R2,42,17,0.0016778536314724366,1.0,0.5322814612408794,64,0
R2,42,18,0.001613169512944295,1.0,0.5322814612408794,64,0
R2,42,19,0.001588809013331739,1.0,0.5322814612408794,64,0
R2,42,20,0.00157260746243961,1.0,0.5310103611254159,64,0
R0,43,1,1.7937416888255908,0.5233936074749049,0.15036164007859587,37,0
R0,43,2,1.2287570569732347,0.7694893899905848,0.36442763205325723,37,0
R0,43,3,0.8972179470841287,0.8412731562760225,0.4130222970233399,37,0
R0,43,4,0.7159085247613998,0.8695787899371679,0.44443719457749553,37,0
R2,43,1,1.9272039151710207,0.321506577396267,0.1793789688824532,64,0
R2,43,2,1.5383214874486324,0.5542296018476681,0.326808302060216,64,0
R2,43,3,1.0452243167286188,0.85212802983332,0.5027574686108319,64,0
R2,43,4,0.6051898320048444,0.8930212696508425,0.4665723413075402,63,1
R2,43,5,0.3537856353198887,0.983800782693522,0.4767857885601453,64,0
R2,43,6,0.13377160734585067,0.9930449861413403,0.47681542447300557,64,0
R2,43,7,0.04826770693704869,0.995956324097285,0.4929514492534065,63,1
R2,43,8,0.023486474268533807,0.9990029039138592,0.48892067530781685,64,0
R2,43,9,0.007163745503246257,1.0,0.4882578611851297,64,0
R2,43,10,0.004888186839971919,1.0,0.5155746104713226,63,1
R2,43,11,0.0030656886565989575,1.0,0.5150417957812232,64,0
R2,43,12,0.0025732199237747415,1.0,0.5211980655762106,64,0
R2,43,13,0.002273820899055157,1.0,0.5189751075442086,64,0
R2,43,14,0.002069320618426092,1.0,0.5258109711315854,64,0
R2,43,15,0.0018634785463445195,1.0,0.5127728349950006,64,0
R2,43,16,0.0017705939779266713,1.0,0.5224164158558454,64,0
R2,43,17,0.0016694963882036402,1.0,0.5110396009974801,64,0
R2,43,18,0.0015991476958414734,1.0,0.5133368690143569,64,0
R2,43,19,0.0015586632685788016,1.0,0.5160594098845763,64,0
R2,43,20,0.001531614477282989,1.0,0.5109555781418328,64,0
R0,44,1,1.7891037395981162,0.5390135970275388,0.29287319312108007,37,0
R0,44,2,1.2177864190510628,0.7449302737697823,0.3613342557092385,37,0
R0,44,3,0.8852265726190612,0.8186687519974459,0.4138249964385218,37,0
R0,44,4,0.7162058189183861,0.8579186152545696,0.4434824794839973,37,0
R2,44,1,1.9047866600662453,0.3094374859362507,0.22253850156663457,64,0
R2,44,2,1.4868236983936536,0.6797741265373398,0.46720704117115197,64,0
R2,44,3,0.980704039201474,0.8187822016868468,0.5000442947810597,64,0
R2,44,4,0.6015367999443508,0.9458991762946392,0.48075970261648,63,1
R2,44,5,0.2860184915403222,0.9727658789699519,0.45956438000794536,64,0
R2,44,6,0.1251786185439451,0.9945643034222582,0.4509274339879998,63,1
R2,44,7,0.050629675889383226,0.9988749836673317,0.4921521281621534,64,0
R2,44,8,0.015783382844288388,1.0,0.4771900238083568,64,0
R2,44,9,0.008992096210139624,1.0,0.5156147975639865,64,0
R2,44,10,0.004066429554037697,1.0,0.5010836741602522,64,0
R2,44,11,0.003133271581697512,1.0,0.48345952829093586,64,0
R2,44,12,0.002645906641274387,1.0,0.49267975547931286,64,0
R2,44,13,0.0022924538284041203,1.0,0.4895044552879075,64,0
R2,44,14,0.0020850256577280147,1.0,0.4910515387846011,64,0
R2,44,15,0.001910901667040797,1.0,0.48846672278931563,64,0
R2,44,16,0.001811615013323173,1.0,0.49571952492032095,64,0
R2,44,17,0.0017138829524326452,1.0,0.4892616548985898,64,0
R2,44,18,0.0016236205076306802,1.0,0.4901885634327718,64,0
R2,44,19,0.0015851534574694752,1.0,0.4901885634327718,64,0
R2,44,20,0.0015582683339231173,1.0,0.4901885634327718,64,0
