dataset,source,format,split,label,count,work,author,identity_evidence,identity_status
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,no_relevante,28,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,organizacion_consecuencias_republicanas,6,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,514f190e-5d01-497a-a6ef-648601cd8bdb,youtube,train,participacion_social_regional,3,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,campanias_conflictos_militares,71,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,contexto_colonial_antecedentes,52,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,crisis_ideas_emancipadoras,6,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,liderazgos_diplomacia_proyectos,42,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,no_relevante,13,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,organizacion_consecuencias_republicanas,59,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,747ca90f-92fc-4d19-aec4-6dfc34c2917e,pdf,train,participacion_social_regional,1,"Historia de la Republica del Peru, tomo 1",Jorge Basadre Grohmann,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
